"Empresa Genera",Año,Mes,Planta,"Energia Punta","Energia Valle","Energia Noche","Potencia Gen Punta","Potencia Gen Valle","Potencia Gen Noche","Potencia Sist Punta","Potencia Sist Valle","Potencia Sist Noche","Fecha Max","Hora Max","Factor Carga","Consumo Diesel","Consumo Bun","Consumo Bun AZ","Consumo Otro","Consumo Lub","Gasto Diesel","Gasto Bun","Gasto Bun AZ","Gasto Otro","Gasto Lub"
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Marzo     ",GARABITO,13861139,25372379.31,14833988.878,193639.664,193884.559,195010.52,106108.816,121939.452,191235.926,08-03-0202,"Apr 1",0.3732,2273767,0,9291969,0,20121,1418952372.2,0,3111072175,0,25034039.95
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Marzo     ","LA GARITA ",2916548.313,5176629.116,3590738.384,36857.727,38183.613,36965.238,15611.067,15366.769,27145.973,13-03-0202,"Apr 1",0.3926,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Marzo     ",GUÁPILES,281497.462,443935.389,318981.925,13528.39,13574.032,13547.933,-72.745,-71.413,0,29-03-0202,"Apr 1",0.1030,112159,0,144153,0,5003,70101591.15,0,47000909.39,0,6398152.59
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Marzo     ","MIRAVALLES I",7326318.139,13133835.681,14668651.426,48968.223,49379.121,49512.125,48405.312,47846.395,48299.785,21-03-0202,"Apr 1",1.0000,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Marzo     ","MIRAVALLES II",6953445.876,12380489.869,14131583.171,48243.77,48561.91,48531.066,46750.594,46078.301,47070.863,09-03-0202,"Apr 1",1.0000,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Marzo     ",ANGOSTURA,10589971.096,18773909.666,9935992.118,165240.512,164235.367,165767.527,106773.581,124441.129,111305.482,11-03-0202,"Apr 1",0.2935,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Marzo     ",ARENAL,22458407.313,40491090.639,41307782.75,161474.168,162106.355,161691.805,159681.664,159966.691,159315.457,24-03-0202,"Apr 1",0.8442,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Marzo     ","BOCA DE POZO",720900.456,1290633.54,1447352.208,4746.444,4748.407,4745.077,4727.054,4737.262,4732.35,08-03-0202,"Apr 1",0.9298,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Marzo     ",CACHÍ,7351488.914,13863599.812,8271053.11,127688.107,113722.316,150474.355,61911.195,51143.963,29860.9,07-03-0202,"Apr 1",0.2493,,,,,,,,,,
"INSTITUTO COSTARRICENSE DE ELECTRICIDAD",2022,"Marzo     ",CARIBLANCO,3160810.569,4798513.833,3209381.772,60056.67,58341.115,59637.371,26855.535,-95.171,39751.988,04-03-0202,"Apr 1",0.1831,,,,,,,,,,
